"id","zh","en","context","caution","source","reviewStatus","reviewer","suggestion"
"facet","刻面","Facet","宝石上经切磨形成的平面。","不是渲染三角形，也不泛指原石网格面。","https://www.gia.edu/gia-news-research-value-factors-gem-cutting-styles-definitions","pending-specialist-review","",""
"crown","冠部","Crown","腰部以上至台面的部分。","","https://4cs.gia.edu/interactive-4cs/cut/anatomy.html","pending-specialist-review","",""
"pavilion","亭部","Pavilion","腰部以下至底尖的部分。","","https://4cs.gia.edu/interactive-4cs/cut/anatomy.html","pending-specialist-review","",""
"girdle","腰部","Girdle","冠部与亭部之间的外围区域。","不是 belt。","https://4cs.gia.edu/interactive-4cs/cut/anatomy.html","pending-specialist-review","",""
"table","台面","Table","冠部顶部的平坦刻面。","不是 platform。","https://4cs.gia.edu/interactive-4cs/cut/anatomy.html","pending-specialist-review","",""
"culet","底尖","Culet","底部尖端，或该处磨出的小刻面；请结合语境区分。","Pointed culet 与 culet facet 不能混用。","https://www.gia.edu/gia-news-research-value-factors-gem-cutting-styles-definitions","pending-specialist-review","",""
"main-facet","主刻面","Main facet","琢型中的主要刻面，如冠部主面。","不同于软件选定的 primary facet。","https://www.gemcad.com/downloads/gemcadman.pdf","pending-specialist-review","",""
"break-facet","腰部邻接面","Break facet","有色宝石切磨中邻近腰部的小面；中文暂定待审。","钻石语境常用 upper/lower half facet，不能直接套用。","https://www.gia.edu/gia-news-research-value-factors-gem-cutting-styles-definitions","pending-specialist-review","",""
"brilliant","明亮式琢型","Brilliant cut","以三角形、风筝形等刻面组织光效的切磨样式。","不是“明亮的切割”或亮度保证。","https://www.gia.edu/gia-news-research-value-factors-gem-cutting-styles-definitions","pending-specialist-review","",""
"step-cut","阶梯式琢型","Step cut","以阶梯式排列刻面组织的琢型。","","https://www.gia.edu/gia-news-research-value-factors-gem-cutting-styles-definitions","pending-specialist-review","",""
"mixed-cut","混合式琢型","Mixed cut","组合不同切磨样式的琢型。","","https://www.gia.edu/gia-news-research-value-factors-gem-cutting-styles-definitions","pending-specialist-review","",""
"rough","毛坯","Rough","切磨前的初始材料。","导入原石不等同已完成琢型。","https://www.gemcad.com/downloads/gemcadman.pdf","pending-specialist-review","",""
"preform","预形","Preform","预备形状或为后续施工服务的工序。","ASC preform 记录与本应用预形用途标记是不同数据。","https://www.gemcad.com/downloads/gemcadman.pdf","pending-specialist-review","",""
"tier","图层","Tier","共享参数、作为一组编辑的切割工序。","软件简称图层；不是图像图层，也不要求最终仍有面。","https://www.gemcad.com/downloads/gemcadman.pdf","pending-specialist-review","",""
"index","分度","Index","分度轮上的角向位置。","持久化用 0..95，显示 96 与 0 同位。","https://www.gemcad.com/downloads/gemcadman.pdf","pending-specialist-review","",""
"index-gear","分度轮","Index gear","控制围绕轴线旋转位置的齿轮。","本项目固定 96 齿。","https://www.gemcad.com/downloads/gemcadman.pdf","pending-specialist-review","",""
"faceting-angle","行业角","Faceting angle","切磨机常用角读法：台面 0°、腰部 90°。","不是 industry angle；与带符号几何 β 不同。","https://www.gemcad.com/downloads/gemcadman.pdf","pending-specialist-review","",""
"cut-depth","切入深度","Cut depth","平面沿法线从参考包络向内推进的距离。","不是 pavilion depth，也不是垂直深度或材料厚度。","docs/architecture/state-contract.md","pending-specialist-review","",""
"pavilion-depth","亭深","Pavilion depth","腰部至底尖的垂直高度或相应比例。","与 cut depth 分开。","https://4cs.gia.edu/interactive-4cs/cut/anatomy.html","pending-specialist-review","",""
